index,manga_title
384,Hidamari ga Kikoeru: Koufukuron
385,Bungou Stray Dogs: Dead Apple
386,X
387,Bokurano
388,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
389,Shijou Saikyou no Deshi Kenichi
390,Hokuto no Ken
391,Futatsu no Spica
392,Shaman King Kanzenban
393,Baraou no Souretsu
394,Karakai Jouzu no Takagi-san
395,Yahari Ore no Seishun Love Comedy wa Machigatteiru. @comic
396,Boku ga Otto ni Deau made
397,K: Memory of Red
398,Magi: Sinbad no Bouken
399,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-3 Shou - Truth of Zero
400,Kindaichi Shounen no Jikenbo: File Series
401,Beauty Pop
402,Kaze to Ki no Uta
403,Shigurui
404,Getter Robo Go
405,Adekan
406,Saraiya Goyou
407,Ningen Shikkaku
408,Dogs: Bullets & Carnage
409,Gunslinger Girl
410,Soul Eater
411,Gokusen
412,High Score Girl
413,Fate/stay night: Heaven's Feel
414,Sono Bisque Doll wa Koi wo Suru
415,Jibaku Shounen Hanako-kun 0
416,Zense Coupling
417,Hitoribocchi no ○○ Seikatsu
418,Runway de Waratte
419,Tanaka-kun wa Itsumo Kedaruge
420,Gekijouban Mahou Shoujo Madoka★Magica: Shinpen - Hangyaku no Monogatari
421,Nekota no Koto ga Kininatte Shikatanai.
422,Akagi: Yami ni Oritatta Tensai
423,Higurashi no Naku Koro ni: Tatarigoroshi-hen
424,Hotarubi no Mori e
425,Yamamoto Zenjirou to Moushimasu
426,Oboreru Knife
427,Kingdom Hearts: 358/2 Days
428,Mahou Shoujo Madoka★Magica
429,Gangsta.
430,Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou
431,Subete no Jinrui wo Hakai suru. Sorera wa Saisei Dekinai.
432,Houkago Shounen Hanako-kun
433,Sasayaku You ni Koi wo Utau
434,Ore to Akuma no Blues
435,Vassalord.
436,Capeta
437,Noragami: Shuuishuu
438,Koi dano Ai dano
439,Voynich Hotel
440,Yamada-kun to 7-nin no Majo
441,Hyouka
442,Touhou Suzunaan: Forbidden Scrollery.
443,Naruto
444,Rough
445,Tobaku Datenroku Kaiji
446,Ashita no Ousama
447,Chichi no Koyomi
448,Saiyuuki Reload Blast
449,Senryuu Shoujo
450,Rojica to Rakkasei
451,Gakkougurashi!
452,Girls & Panzer: Ribbon no Musha
453,Aoharu x Kikanjuu
